UrlUsuario;NumSubscriptores;NumVideos;Descripcion
https://www.youtube.com/@HiClavero;609 K;103;Un poco más de mi vida y cosas que me gustan :)
https://www.youtube.com/@ldtssoftware8782;4;18;Herramientas creadas por profesores para profesores.
https://www.youtube.com/@LDTSAcademy;680;234;Esto es un canal para mutimedia learning
